,Kingdom,Phylum,Class,Order,Family,Genus,Q_HMPMockV1.1.Even1,Q_HMPMockV1.1.Even2,Q_HMPMockV1.2.Staggered1,Q_HMPMockV1.2.Staggered2,M_HMPMockV1.1.Even1,M_HMPMockV1.1.Even2,M_HMPMockV1.2.Staggered1,M_HMPMockV1.2.Staggered2,G_HMPMockV1.2.Staggered2,G_HMPMockV1.1.Even1,G_HMPMockV1.2.Staggered1,G_HMPMockV1.1.Even2
24,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Unclassified,0,0,0,0,0,2,0,0,0,0,0,0
22,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Unclassified,Unclassified,0,0,0,0,0,1,0,0,0,0,0,0
67,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unclassified,0,0,0,0,1,2,0,0,0,0,0,0
68,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unclassified,0,0,0,0,141,234,5,9,0,0,0,0
65,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Unclassified,Unclassified,0,0,0,0,0,3,0,0,0,0,0,0
70,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,0,0,0,0,0,0,0,0,0,0,0,8
71,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,0,0,0,0,0,0,0,0,1,0,0,0
73,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,0,0,0,0,0,0,0,0,0,0,3,0
74,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,0,0,0,0,0,0,0,0,1,0,0,0
69,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unclassified,0,0,0,0,23,58,146,157,0,0,0,0
76,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Unclassified,0,0,0,0,0,0,0,1,0,0,0,0
78,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unclassified,0,0,0,0,23,39,4,0,0,0,0,0
79,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azorhizophilus,0,0,0,0,10,16,4,3,0,0,0,0
80,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified,0,0,0,0,128,219,65,52,0,0,0,0
75,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,0,0,0,0,499,844,43,50,0,0,0,0
82,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unclassified,0,0,0,0,1,0,0,0,0,0,0,0
83,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,11,20,5,5,0,0,0,0
14,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,331,477,296,298,0,0,0,0
84,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,0,0,0,0,2056,2634,2081,3974
85,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,124,218,146,133,0,0,0,0
2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,14,32,175,155,1,2,4,3,0,120,1191,180
23,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,15,0,0,0,0,0,0,0,0,0,0,0
38,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,66,70,0,2,1,0,0,0,2,87,0,82
60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacter,81,140,457,599,0,0,0,0,710,105,478,170
72,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,86,149,381,418,0,0,0,0,0,0,0,0
36,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,148,249,0,6,0,0,0,0,6,296,12,271
6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,156,326,0,0,14,33,0,0,0,0,0,0
25,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,182,340,86,83,0,0,0,0,104,219,100,402
66,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,233,392,10,16,0,0,0,0,0,0,0,0
45,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,310,527,152,279,0,0,0,0,0,0,0,0
27,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,323,570,11,11,2,3,0,0,24,690,20,1254
81,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,356,654,183,193,0,0,0,0,0,0,0,0
43,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,671,1277,1019,1006,77,180,0,4,1,0,1163,709
20,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,860,971,0,0,180,213,0,0,1,787,0,882
77,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,1103,1835,60,50,16,23,0,0,0,0,0,0
31,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,5336,10444,4584,5599,1,1,0,0,6562,6197,5246,12227
